t,U
0.00833,1.45702700
0.00834,1.47036278
0.00835,-0.80566211
0.00836,-1.44096162
0.00837,1.66048065
0.00838,0.94412347
0.00839,-1.68720757
0.00840,-0.63894286
0.00841,1.32772135
0.00842,0.41799480
0.00843,-1.92636832
0.00844,-1.04428026
0.00845,0.88433225
0.00846,0.46705209
0.00847,-1.29731815
0.00848,-1.52260947
0.00849,1.73611224
0.00850,1.02885728
0.00851,-0.78873248
0.00852,0.06339719
0.00853,0.51367589
0.00854,-0.21594882
0.00855,0.04200100
0.00856,-0.73883721
0.00857,2.03843495
0.00858,-0.84729776
0.00859,-0.87900673
0.00860,-0.75542771
0.00861,0.76328178
0.00862,-0.68491575
0.00863,-1.67213726
0.00864,-0.24265807
0.00865,1.36754986
0.00866,-0.64038484
0.00867,-1.31578027
0.00868,1.91097555
0.00869,0.35875643
0.00870,0.13338484
0.00871,-1.00060231
0.00872,0.87195830
0.00873,0.53056240
0.00874,-0.87901176
0.00875,-1.37158560
0.00876,1.54273365
0.00877,2.08385567
0.00878,-2.12216092
0.00879,-0.77633759
0.00880,1.09514565
0.00881,0.28538924
0.00882,-1.23854744
0.00883,-1.51004609
0.00884,1.46861132
0.00885,1.12532549
0.00886,-1.49044119
0.00887,-0.62837059
0.00888,0.12094355
0.00889,1.24436715
0.00890,0.62729370
0.00891,0.16018837
0.00892,1.28698092
0.00893,0.24488501
0.00894,-0.86625342
0.00895,-0.04843080
0.00896,1.16860678
0.00897,0.18403159
0.00898,-0.77312436
0.00899,0.72041670
0.00900,1.84960981
0.00901,-0.65092604
0.00902,-1.48758352
0.00903,1.03289164
0.00904,0.45315920
0.00905,-0.91280988
0.00906,-1.31814601
0.00907,1.19712042
0.00908,1.22769882
0.00909,0.29771495
0.00910,-1.39238561
0.00911,0.95040551
0.00912,-0.07871426
0.00913,-0.26519744
0.00914,-0.81429068
0.00915,-0.42429959
0.00916,1.28889331
0.00917,-1.05879643
0.00918,-1.02161302
0.00919,1.41783573
0.00920,1.07861241
0.00921,-1.55823786
0.00922,-0.50145763
0.00923,0.74499838
0.00924,0.72817940
0.00925,-0.58360012
0.00926,-0.19411483
0.00927,0.94728973
0.00928,0.37384439
0.00929,-0.19088258
0.00930,-0.46034651
0.00931,0.31538926
0.00932,-0.48727218
0.00933,-1.26303249
0.00934,-0.27837496
0.00935,0.71947685
0.00936,-0.69348866
0.00937,-1.52864337
0.00938,0.05496654
0.00939,1.75705735
0.00940,1.19736560
0.00941,-0.65049352
0.00942,0.37011331
0.00943,1.63707593
0.00944,-0.47418071
0.00945,-1.51269304
0.00946,0.49472383
0.00947,1.41749988
0.00948,-0.25414887
0.00949,-0.69332903
0.00950,0.35223642
0.00951,1.29485244
0.00952,0.36891513
0.00953,-0.70411133
0.00954,0.59696416
0.00955,1.52554594
0.00956,-0.88494893
0.00957,-1.30061446
0.00958,1.58279340
0.00959,0.95752671
0.00960,-0.58308928
0.00961,-0.14368543
0.00962,0.09106235
0.00963,1.55937404
0.00964,-0.85784143
0.00965,-0.26421681
0.00966,1.56943109
0.00967,0.76205918
0.00968,-1.33136960
0.00969,-1.02926149
0.00970,0.70498074
0.00971,0.13534395
0.00972,-0.90992387
0.00973,-0.32824747
0.00974,1.66734651
0.00975,-0.61388233
0.00976,-1.43489384
0.00977,-0.17991656
0.00978,1.68270821
0.00979,0.04029225
0.00980,-1.60209021
0.00981,-0.56318358
0.00982,0.28568674
0.00983,-1.39194336
0.00984,-1.49081018
0.00985,0.30915776
0.00986,0.35951679
0.00987,0.69230731
0.00988,0.13225527
0.00989,1.56918374
0.00990,0.70729593
0.00991,-0.47216227
0.00992,-0.52881824
0.00993,0.63280145
0.00994,2.48820619
0.00995,0.07152316
0.00996,-0.45230774
0.00997,1.47479508
0.00998,-0.09555274
0.00999,-1.10067864
0.01000,-0.78598347
0.01001,0.44783835
0.01002,1.13528981
0.01003,-1.16475338
0.01004,-1.03312198
0.01005,0.64914927
0.01006,0.68139453
0.01007,-1.10638283
0.01008,-0.29260308
0.01009,1.62302832
0.01010,-0.35612247
0.01011,-1.28512892
0.01012,0.66144540
0.01013,1.19541460
0.01014,0.39808001
0.01015,-0.18153546
0.01016,-0.58745308
0.01017,1.34434351
0.01018,-0.40180929
0.01019,-1.10530746
0.01020,0.49426810
0.01021,1.71006108
0.01022,-0.59412564
0.01023,-1.31907357
0.01024,0.25085362
0.01025,1.23477238
0.01026,0.00066570
0.01027,-2.01478046
0.01028,0.90685855
0.01029,0.84213250
0.01030,-0.84529623
0.01031,-0.70901074
0.01032,0.37032744
0.01033,1.37894475
0.01034,-0.84962867
0.01035,-0.11363619
0.01036,0.14236909
0.01037,0.43980537
0.01038,-0.79181759
0.01039,-1.16480017
0.01040,0.20863615
0.01041,0.79225721
0.01042,-1.61436815
0.01043,-0.75675155
0.01044,1.22531557
0.01045,-0.24742791
0.01046,-1.66153835
0.01047,-0.25911647
0.01048,0.87934174
0.01049,0.45303952
0.01050,-0.72353655
0.01051,-0.72824438
0.01052,2.11487035
0.01053,-0.25532776
0.01054,-1.59442141
0.01055,-0.18594924
0.01056,1.37809244
0.01057,-1.78129525
0.01058,-0.97444916
0.01059,1.33623988
0.01060,1.66815665
0.01061,0.16936773
0.01062,-1.00104280
0.01063,0.09957974
0.01064,1.70857136
0.01065,-0.97061559
0.01066,-0.26911648
0.01067,1.05862360
0.01068,0.67299951
0.01069,-0.69207103
0.01070,-0.74889424
0.01071,-0.34633596
0.01072,1.65058579
0.01073,-0.71989429
0.01074,-0.62030589
0.01075,1.60214798
0.01076,1.35055534
0.01077,-1.11915163
0.01078,-1.40224641
0.01079,1.81300184
0.01080,0.28956078
0.01081,-0.84769482
0.01082,-0.22003774
0.01083,1.15714132
0.01084,-0.16781056
0.01085,-0.97533125
0.01086,-1.14020451
0.01087,1.06794064
0.01088,0.49616053
0.01089,-1.65555703
0.01090,-1.03134999
0.01091,1.73322497
0.01092,0.30936852
0.01093,-0.58582551
0.01094,-0.01387138
0.01095,1.01597224
0.01096,0.24551047
0.01097,-1.38345996
0.01098,1.11071971
0.01099,0.90967629
0.01100,-0.87098196
0.01101,-1.44645147
0.01102,0.51682501
0.01103,0.50731713
0.01104,-0.73742979
0.01105,-0.28755430
0.01106,0.19167547
0.01107,1.21950487
0.01108,0.59249303
0.01109,-1.71945810
0.01110,0.78773766
0.01111,0.59253849
0.01112,-0.50220810
0.01113,0.08965401
0.01114,1.11450274
0.01115,1.30167217
0.01116,-0.94347154
0.01117,-0.78058002
0.01118,1.46476910
0.01119,0.78639696
0.01120,-1.71745280
0.01121,-1.22729629
0.01122,1.60437775
0.01123,1.49376017
0.01124,-0.17487578
0.01125,0.26852003
0.01126,1.63290884
0.01127,0.09718477
0.01128,-1.57180066
0.01129,0.35518507
0.01130,1.09627694
0.01131,-0.40735782
0.01132,-1.57842944
0.01133,-0.09067611
0.01134,1.57577551
0.01135,0.28282805
0.01136,-1.34130780
0.01137,0.40483412
0.01138,0.79022539
0.01139,0.83099063
0.01140,-0.81753861
0.01141,1.32188137
0.01142,0.34834443
0.01143,-1.14361263
0.01144,-1.47285851
0.01145,0.48155259
0.01146,1.42824160
